TICKER,CUSIP,OFTIC,CNAME,PENDS,MEASURE,PDICITY,ANNDATS,ANNTIMS,ACTDATS,ACTTIMS,VALUE,CURR_ACT,USFIRM
IBM,45920010,IBM,IBM,2021-12-31,ENT,QTR,2022-01-24,16:08:00,2022-01-24,17:03:58,,USD,1
IBM,45920010,IBM,IBM,2022-03-31,ENT,QTR,2022-04-19,16:08:00,2022-04-19,16:36:18,,USD,1
IBM,45920010,IBM,IBM,2022-06-30,ENT,QTR,2022-07-18,16:08:00,2022-07-18,16:32:21,,USD,1
IBM,45920010,IBM,IBM,2022-09-30,ENT,QTR,2022-10-19,16:08:00,2022-10-19,16:25:53,,USD,1
IBM,45920010,IBM,IBM,2022-12-31,ENT,QTR,2023-01-25,16:08:00,2023-01-25,16:46:59,,USD,1
IBM,45920010,IBM,IBM,2023-03-31,ENT,QTR,2023-04-19,16:08:00,2023-04-19,16:32:22,,USD,1
IBM,45920010,IBM,IBM,2023-06-30,ENT,QTR,2023-07-19,16:08:00,2023-07-19,16:29:09,,USD,1
IBM,45920010,IBM,IBM,2023-09-30,ENT,QTR,2023-10-25,16:08:00,2023-10-25,16:53:48,,USD,1
IBM,45920010,IBM,IBM,2023-12-31,ENT,QTR,2024-01-24,16:10:00,2024-01-24,16:32:20,,USD,1
IBM,45920010,IBM,IBM,2024-03-31,ENT,QTR,2024-04-24,16:08:00,2024-06-07,6:29:43,,USD,1
IBM,45920010,IBM,IBM,2024-06-30,ENT,QTR,2024-07-24,16:08:00,2024-07-24,16:31:02,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2014-12-31,FFO,QTR,2015-01-20,16:06:00,2015-01-20,16:16:31,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2015-03-31,FFO,QTR,2015-04-20,16:05:00,2015-04-20,16:13:57,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2015-06-30,FFO,QTR,2015-07-20,16:03:00,2015-07-20,16:14:11,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2015-09-30,FFO,QTR,2015-10-19,16:04:00,2015-10-19,16:10:18,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2015-12-31,FFO,QTR,2016-01-19,16:06:00,2016-01-19,16:13:14,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2016-03-31,FFO,QTR,2016-04-18,16:08:00,2016-04-18,16:20:53,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2016-06-30,FFO,QTR,2016-07-18,16:09:00,2016-07-18,16:29:40,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2016-09-30,FFO,QTR,2016-10-17,16:11:00,2016-10-17,16:17:56,,USD,1
